current_path,suggested_topic,proposed_path,is_duplicate_of,size_bytes,pages,title,author
006_Geometry_Normalisation_sep07_3842039_01.ppt,acquisition,acquisition/David Brown - DP2 - PSTM geometry issues.ppt,,4686336,,DP2 - PSTM geometry issues,David Brown
02_FOOTPRINT_Omega2_may06_4039690_01.ppt,acquisition,acquisition/Footprint Omega2.ppt,,5118464,,PowerPoint Presentation,David Brown
GEOMETRY_LAND.pdf,acquisition,acquisition/Geometry Land.pdf,,6074,1,Untitled,Unknown
1984_Problem_of_Deconvolving_Noisy_Seismic_TECHCO.pdf,deconvolution,"deconvolution/Dave Hutchinson, Brian Link - Surface consistency - A solution to the problem of deconvolving noisy seismic data.pdf",,342615,4,Surface consistency: A solution to the problem of deconvolving noisy seismic data,"Dave Hutchinson, Brian Link"
03_WP_Decon_4433491_01.ppt,deconvolution,deconvolution/David Brown - DP3 MBWP Module.ppt,,9447936,,DP3 MBWP Module,David Brown
04_DECON_Issues_Omega2_3737355 _01 (2).ppt,deconvolution,deconvolution/Deconvolution Issues Omega2.ppt,,2851328,,No Slide Title,Western Atlas Intl.
04_DECON_Issues_Omega2_3737355 _01 (3).ppt,deconvolution,deconvolution/Deconvolution Issues Omega2_1.ppt,04_DECON_Issues_Omega2_3737355 _01 (2).ppt,2851328,,No Slide Title,Western Atlas Intl.
04_DECON_Issues_Omega2_3737355 _01.ppt,deconvolution,deconvolution/Deconvolution Issues Omega2_2.ppt,04_DECON_Issues_Omega2_3737355 _01 (2).ppt,2851328,,No Slide Title,Western Atlas Intl.
03_Strategies_Parameters_Omega2_3737355 _01 (2).ppt,deconvolution,deconvolution/Deconvolution Strategies and Parameters Omega2.ppt,,5424128,,No Slide Title,Western Atlas Intl.
03_Strategies_Parameters_Omega2_3737355 _01 (3).ppt,deconvolution,deconvolution/Deconvolution Strategies and Parameters Omega2_1.ppt,03_Strategies_Parameters_Omega2_3737355 _01 (2).ppt,5424128,,No Slide Title,Western Atlas Intl.
03_Strategies_Parameters_Omega2_3737355 _01.ppt,deconvolution,deconvolution/Deconvolution Strategies and Parameters Omega2_2.ppt,03_Strategies_Parameters_Omega2_3737355 _01 (2).ppt,5424128,,No Slide Title,Western Atlas Intl.
EAGE_course_multiples_PDFs/03_predictive_deconvolution.pdf,deconvolution,deconvolution/EAGE EET 03 - Predictive Deconvolution.pdf,,3273974,24,EET Course 2006,Eric Verschuur
2010_osobennosti-algoritma-f_x-dekonvolyutsii (2).pdf,deconvolution,deconvolution/Features of FX Deconvolution Algorithm.pdf,,1522429,13,1_denisov,User
2010_osobennosti-algoritma-f_x-dekonvolyutsii (3).pdf,deconvolution,deconvolution/Features of FX Deconvolution Algorithm_1.pdf,2010_osobennosti-algoritma-f_x-dekonvolyutsii (2).pdf,1522429,13,1_denisov,User
2010_osobennosti-algoritma-f_x-dekonvolyutsii.pdf,deconvolution,deconvolution/Features of FX Deconvolution Algorithm_2.pdf,2010_osobennosti-algoritma-f_x-dekonvolyutsii (2).pdf,1522429,13,1_denisov,User
mbwp_instructions_4948128_01/MBWP_model_equations.ppt,deconvolution,deconvolution/MBWP Model Equations.ppt,,121344,,Slide 1,Administrator
mbwp_instructions_4948128_01/MBWP_report_blurb_for zero phasing.doc,deconvolution,deconvolution/MBWP Report Blurb - Zero Phasing.doc,,41472,1,"Phase matching of mixed source seismic surveys is accomplished by the use of Model-based Wavelet Processing (MBWP)  In MBWP, a model is created of the wavelet assumed to be imbedded in the data",Goofy
mbwp_instructions_4948128_01/step_1_initial_MBWP_OPER_CREATE.ppt,deconvolution,deconvolution/MBWP Step 1 - Initial Operator.ppt,,4750848,,MBWP:  How to do it,Administrator
mbwp_instructions_4948128_01/step_2_estimating_MBWP_paramters.ppt,deconvolution,deconvolution/MBWP Step 2 - Estimating Parameters.ppt,,1976320,,MBWP:  How to do it,Administrator
mbwp_instructions_4948128_01/step_3_final_MBWP_oper.ppt,deconvolution,deconvolution/MBWP Step 3 - Final Operator.ppt,,1006080,,MBWP:  How to do it,Administrator
mbwp_instructions_4948128_01/DGS_MBWP_update_2008.ppt,deconvolution,deconvolution/MBWP Update 2008.ppt,,1533440,,No Slide Title,Douglas Hart
CGG/ODT4 - Deconvolution/ODT04_DECONVOLUTION_PART1_v7.0_sesimic_wavelet.pptx,deconvolution,deconvolution/ODT04_DECONVOLUTION_PART1_v7.0_sesimic_wavelet.pptx,,49489485,,,
CGG/ODT4 - Deconvolution/ODT04_DECONVOLUTION_PART2_v7.0_signature_decon.pptx,deconvolution,deconvolution/ODT04_DECONVOLUTION_PART2_v7.0_signature_decon.pptx,,24809296,,,
CGG/ODT4 - Deconvolution/ODT04_DECONVOLUTION_PART3_v7.0_deconvolution_demult.pptx,deconvolution,deconvolution/ODT04_DECONVOLUTION_PART3_v7.0_deconvolution_demult.pptx,,72478334,,,
O-zadachakh-dekonvolyutsii-seysmicheskikh-zapisey_2022 (2).pdf,deconvolution,deconvolution/On Deconvolution of Seismic Records.pdf,,2280381,10,Сборка74.cdr,user
O-zadachakh-dekonvolyutsii-seysmicheskikh-zapisey_2022.pdf,deconvolution,deconvolution/On Deconvolution of Seismic Records_1.pdf,O-zadachakh-dekonvolyutsii-seysmicheskikh-zapisey_2022 (2).pdf,2280381,10,Сборка74.cdr,user
RobustDec2019_ZhangYuan.pdf,deconvolution,deconvolution/Robust Deconvolution 2019 Zhang Yuan.pdf,,1475071,4,,USER-
the-application-of-wavelet-deconvolution-for-noise-reduction-in-seismic-data-preprint.pdf,deconvolution,deconvolution/Wavelet Deconvolution for Noise Reduction.pdf,,2395822,49,,mokutima okon
mbwp_instructions_4948128_01.zip,deconvolution,deconvolution/mbwp_instructions_4948128_01.zip,,9300160,,,
SEG-1991-1428.pdf,formats,formats/SEG 1991-1428.pdf,,223579,4,Random Noise Attenuation by F-X Prediction: A Tutorial,"Mike Galbraith, Seismic Image Software Ltd., Canada"
SEG-SPS-Format-rev-2_1.pdf,formats,formats/SEG SPS Format rev 2.1.pdf,,777890,,,Word
Segd_rev2.pdf,formats,"formats/SEG Technical Standards Committee - SEG Field Tape Standards Committee Proposal for SEG-D, Rev 2..pdf",,730106,65,"SEG Field Tape Standards Committee Proposal for SEG-D, Rev 2.",SEG Technical Standards Committee
seg_ukooa_ads_meta_format_ver1.pdf,formats,formats/SEG-UKOO ADS Meta-format ver 1-01.doc.pdf,,246481,48,Microsoft Word - SEG-UKOO ADS Meta-format ver 1-01.doc,mwnorr1
Segy_rev2.pdf,formats,formats/SEG-Yrev2Release.pdf,,3873706,151,SEG-Yrev2Release,salevin
2003-33.pdf,general,general/2003-33.pdf,,822578,22,Microsoft Word - zc1.mkedit.doc,kirtland
Avtoref_Amani_Mangua.pdf,general,general/Avtoref_Amani_Mangua.pdf,,5377153,27,,user
CRR201749.pdf,general,general/Bernard Law and Daniel Trad - Comparison of refraction inversion methods.pdf,,4654884,22,Comparison of refraction inversion methods,Bernard Law and Daniel Trad
CRR201314.pdf,general,general/Comparison of Q-estimation methods - an update.pdf,,494189,38,Comparison of Q-estimation methods: an update,Peng Cheng and Gary F. Margrave
drthesis_2020_Sarajaervi.pdf,general,general/Computationally Efficient.pdf,,9248148,,Computationally Efficient,
CRR201211.pdf,general,general/Estimation of Q - a comparison of different computational methods.pdf,,544091,32,Estimation of Q: a comparison of different computational methods,Peng Cheng and Gary F. Margrave
FlatironsTrainingManual.pdf,general,general/Flatirons - Seismic Processing Training Manual.pdf,,2664056,38,Flatirons™ Refraction Statics,Ding Liu
369_1.9781560803041.all.pdf,general,"general/Gijs J. O. Vermeer - 3D Seismic Survey Design, Second Edition.pdf",,41452286,369,"3D Seismic Survey Design, Second Edition",Gijs J. O. Vermeer
